method,kappa_c,kappa_f,sweep,N,observable,mean,se,uncertainty_method
HMC,0.340301,0.340301,50,5000,phi4,1.0494773470094756,0.000464555002052584,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,NN,0.5667559817575788,0.00039298086655391204,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,2nn,0.47451824268888665,0.0005462335029807533,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,diag,0.5077135482071128,0.00047523994741008183,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,chi,1227.687639210971,7.151625656017253,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,U4,0.6100504218713814,0.001493968422344046,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,50,5000,xi_over_L,0.8965764778516142,0.011032788607706002,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,action_density,-0.5503304826092437,0.00037804241174881683,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,phi2,0.828507005202675,0.0002460145598971216,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,phi4,1.050362921725788,0.00047605863216247115,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,NN,0.5672819056749441,0.00040378179178415536,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,2nn,0.47543532984157844,0.0005559259738967807,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,diag,0.5083731521738651,0.00048517377006091704,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,chi,1236.5408290172106,7.209250003010218,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,U4,0.6096898126429815,0.001492723440744198,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,100,5000,xi_over_L,0.8982258621490763,0.010989032501858701,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,action_density,-0.5499687053950288,0.00036986755237538313,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,phi2,0.8282414314766058,0.00023508918985396866,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,phi4,1.0499856001472543,0.000457460118616397,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,NN,0.5669340334480925,0.00038670890402375997,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,2nn,0.4748658823506734,0.0005319517315057945,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,diag,0.5081083293830442,0.0004642010045357596,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,chi,1237.61775488323,7.045328229836579,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,U4,0.6113014355624562,0.001448224647012935,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,250,5000,xi_over_L,0.9108302769575155,0.01087060607773912,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,action_density,-0.550365731848867,0.00036901182372141967,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,phi2,0.8283182035643164,0.00023451314726055599,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,phi4,1.049953435671906,0.00045813617677513315,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,NN,0.5671456768834476,0.00038617642785007314,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,2nn,0.47512841746101686,0.0005374622525054088,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,diag,0.5081810459748642,0.00046563377601513216,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,chi,1241.2196513952567,7.2156790403276245,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,U4,0.6112154403455825,0.0014749454019635305,"configuration bootstrap, 4000 replicates"
HMC,0.340301,0.340301,500,5000,xi_over_L,0.917946361429481,0.011343746963967104,"configuration bootstrap, 4000 replicates"
HMC,0.340100,0.340301,0,3000,action_density,-0.5254425681744141,0.0005637976896708189,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,phi2,0.8290191275760214,0.0003082784642995614,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,phi4,1.0764037606858758,0.0005768720146155656,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,NN,0.5677526669656189,0.0005369138782683764,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,2nn,0.4762771710458225,0.0007396009192776327,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,diag,0.5113478644151236,0.0006481749754519637,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,chi,1211.4271425779673,9.6282574852859,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,U4,0.603330365311789,0.0020949483949936286,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,0,3000,xi_over_L,0.8681850876058567,0.013557485445020504,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,action_density,-0.5493270601624607,0.0004921526061805227,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
