volume_pair,kernel,operator,direct_mean,blocked_mean,std_ratio_direct_over_blocked,ks
L64_to_L32,free eta=0.2518658,local_kurtosis_ratio,1.5276600127933024,1.5273344295666882,1.0395624704897675,0.028999999999999915
L64_to_L32,free eta=0.2518658,NN,0.5723242600107258,0.5698712823323634,0.9387135906993439,0.03699999999999998
L64_to_L32,free eta=0.2518658,2nn,0.4831976849515712,0.4781575118008214,0.9682077428613729,0.03600000000000003
L64_to_L32,free eta=0.2518658,diag,0.5150256058480155,0.5121594586581507,0.9739124939594062,0.028000000000000025
L64_to_L32,free eta=0.2518658,m2,0.36276511142789386,0.3500517855351917,0.9396338029096646,0.05399999999999999
L64_to_L32,free eta=0.2518658,m4,0.1531076841840046,0.14689787163443543,0.9661732587826563,0.05199999999999999
L64_to_L32,free eta=0.2518658,G_pmin_avg,11.055949998199273,12.14597806344218,0.9233285626511053,0.04200000000000004
L64_to_L32,free eta=0.2518658,G21,0.4670702472568217,0.46314457624420263,0.976658623363802,0.02799999999999997
L64_to_L32,free eta=0.2518658,G22,0.44378588586746537,0.439142914239846,0.9811723560443014,0.03200000000000003
L64_to_L32,free eta=0.2518658,G30,0.44019059177600056,0.4347449422956853,0.9713046473204284,0.032999999999999974
L64_to_L32,free eta=0.2518658,G31,0.4348674552240911,0.42894610924612614,0.9757457289720928,0.03400000000000003
